Car_Image,Name,Model,In_Game_Price,car_source,stock_specs,Stock_Rating,Drive_Type,speed,handling,acceleration,launch,braking,Offroad,Top_Speed,0-60_Mph,0-100_Mph,car_perfs 6,car_source_1,car_source_2,Horse_Power,g-force
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_001.jpg?v=1,2001 Acura Integra Type R,RETRO HOT HATCH,"25,000",Autoshow,C,596.0,FWD,5.6,5.1,3.9,3.1,3.4,5.1,155.5 Mph,6.2s,14.7s,0.90 g,info_not_found,info_not_found,195,"2,639"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_002.jpg?v=1,2002 Acura RSX Type S,RETRO HOT HATCH,"25,000",Autoshow,C,585.0,FWD,5.6,5.1,3.9,3.0,3.5,5.3,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,200,"2,820"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_003.jpg?v=1,2017 Acura NSX,MODERN SUPERCARS,"170,000",Autoshow,S1,831.0,AWD,7.0,7.0,9.2,10.0,7.1,4.7,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,573,"3,803"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_004.jpg?v=1,1973 Alpine A110 1600s,CLASSIC RALLY,"98,000",Autoshow,C,550.0,RWD,5.0,4.4,4.1,3.1,3.0,5.3,138.0 Mph,7.0s,20.6s,0.84 g,info_not_found,info_not_found,123,"1,576"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_005.jpg?v=1,2017 Alpine A110,MODERN SPORTS CARS,"67,500",Wheelspin,B,694.0,RWD,6.0,6.4,5.4,5.7,4.2,4.2,info_not_found,info_not_found,info_not_found,info_not_found,Season Event,Festival Playlist,248,"2,432"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_006.jpg?v=1,2015 Alumi Craft Class 10 Race Car,UNLIMITED BUGGIES,"300,000",Autoshow,B,642.0,RWD,4.4,3.8,5.0,4.1,4.8,10.0,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,196,"2,200"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_007.jpg?v=1,1973 AMC Gremlin X,CULT CARS,"35,000",Autoshow,D,403.0,RWD,4.0,3.9,3.4,3.4,2.3,5.2,112.0 Mph,9.6s,25.1s,0.78 g,Wheelspin,info_not_found,150,"2,840"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_008.jpg?v=1,2554 AMG TRANSPORT DYNAMICS M12S Warthog CST,UNLIMITED OFFROAD,"850,000",Autoshow,A,719.0,AWD,4.2,4.1,8.6,10.0,6.7,10.0,116.9 Mph,3.5s,9.2s,0.96 g,Wheelspin,info_not_found,720,"5,071"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_009.jpg?v=1,2018 Apollo Intensa Emozione,EXTREME TRACK TOYS,"1,500,000",Autoshow,S2,963.0,RWD,7.4,10.0,7.7,8.4,10.0,3.9,204.5 Mph,2.6s,5.0s,1.73 g,Wheelspin,Forza Shop,780,"2,756"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_010.jpg?v=1,"2018 Apollo Intensa Emozione ""Welcome Pack""",EXTREME TRACK TOYS,"1,500,000",Autoshow,S2,998.0,RWD,7.6,10.0,7.9,8.6,10.0,3.8,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,930,"2,480"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_011.jpg?v=1,2013 Ariel Atom 500 V8,EXTREME TRACK TOYS,"200,000",Autoshow,S2,924.0,RWD,6.3,8.8,7.8,8.5,7.2,3.9,176.8 Mph,3.1s,5.7s,1.32 g,Wheelspin,info_not_found,475,"1,433"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_012.jpg?v=1,2016 Ariel Nomad,UNLIMITED BUGGIES,"93,000",Autoshow,A,711.0,RWD,5.2,4.7,6.5,7.2,4.2,8.1,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,236,"1,477"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_013.jpg?v=1,1964 Aston Martin DB5,RARE CLASSICS,"800,000",Autoshow,C,548.0,RWD,5.4,4.0,4.0,3.4,2.7,5.4,151.3 Mph,8.1s,19.0s,0.79 g,Wheelspin,info_not_found,325,"3,230"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_014.jpg?v=1,2013 Aston Martin V12 Vantage S,SUPER GT,"240,000",Autoshow,A,796.0,RWD,7.8,6.2,5.4,5.7,6.4,4.4,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,565,"3,671"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_015.jpg?v=1,2016 Aston Martin Vantage GT12,TRACK TOYS,"400,000",Accolade,S1,829.0,RWD,6.7,8.0,5.9,6.1,8.1,4.4,183.0 Mph,3.7s,8.0s,1.16 g,info_not_found,info_not_found,593,"3,450"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_016.jpg?v=1,2017 Aston Martin DB11,SUPER GT,"300,000",Autoshow,A,787.0,RWD,7.3,6.5,5.7,6.1,6.1,4.7,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,608,"4,134"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_017.jpg?v=1,2017 Aston Martin Vulcan AMR Pro,EXTREME TRACK TOYS,"2,000,000",Autoshow,S2,953.0,RWD,7.7,9.6,6.5,7.0,10.0,3.2,211.0 Mph,3.0s,5.7s,1.73 g,Wheelspin,Accolade,820,"2,998"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_019.jpg?v=1,2019 Aston Martin DBS Superleggera,SUPER GT,"350,000",Autoshow,S1,835.0,RWD,7.8,6.6,5.8,6.2,6.9,4.5,215.4 Mph,3.4s,6.4s,1.09 g,Wheelspin,info_not_found,715,"3,966"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_020.jpg?v=1,2019 Aston Martin Valhalla Concept Car,HYPERCARS,"1,150,000",Autoshow,S2,959.0,AWD,8.5,9.2,10.0,10.0,9.4,4.6,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,"1,042","3,097"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_018.jpg?v=1,2019 Aston Martin Vantage,GT CARS,"430,000",Autoshow,S1,801.0,RWD,7.0,6.7,6.0,6.4,6.1,4.6,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,Festival Playlist,503,"3,497"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_021.jpg?v=1,1983 Audi Sport quattro,RETRO RALLY,"175,000",Autoshow,B,638.0,AWD,5.7,5.0,5.5,2.9,4.0,5.7,157.7 Mph,4.5s,12.5s,0.91 g,Accolade,info_not_found,306,"2,807"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_022.jpg?v=1,1995 Audi Avant RS2,RETRO SALOONS,"50,000",Autoshow,B,601.0,AWD,6.0,5.1,5.0,5.3,3.2,5.2,165.2 Mph,4.8s,13.1s,0.87 g,Wheelspin,info_not_found,311,"3,517"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_023.jpg?v=1,2001 Audi RS 4 Avant,RETRO SALOONS,"94,000",Autoshow,B,663.0,AWD,6.4,5.8,5.5,4.7,3.6,5.2,175.5 Mph,4.5s,11.6s,0.92 g,Wheelspin,info_not_found,375,"3,571"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_024.jpg?v=1,2003 Audi RS 6,RETRO SALOONS,"105,000",Autoshow,B,677.0,AWD,6.8,5.7,5.1,5.0,4.1,5.4,187.6 Mph,4.4s,10.7s,0.90 g,Wheelspin,info_not_found,450,"4,024"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_025.jpg?v=1,2006 Audi RS 4,SUPER SALOONS,"53,000",Autoshow,A,710.0,AWD,6.9,6.1,6.0,5.5,4.4,5.3,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,420,"3,638"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_026.jpg?v=1,2009 Audi RS 6,SUPER SALOONS,"155,000",Autoshow,A,722.0,AWD,7.5,6.0,6.1,6.7,5.8,5.5,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,570,"4,376"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_027.jpg?v=1,2010 Audi TT RS Coupé,MODERN SPORTS CARS,"66,000",Autoshow,A,707.0,AWD,6.6,6.1,5.8,7.0,4.4,5.4,181.1 Mph,4.4s,11.1s,0.96 g,Wheelspin,info_not_found,335,"3,294"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_028.jpg?v=1,2011 Audi RS 3 Sportback,SUPER HOT HATCH,"42,000",Autoshow,B,682.0,AWD,6.0,6.1,5.2,6.5,4.1,5.5,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,335,"3,472"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_029.jpg?v=1,2011 Audi RS 5 Coupé,SUPER SALOONS,"88,000",Autoshow,A,733.0,AWD,6.8,6.2,5.8,5.7,5.9,5.5,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,442,"3,830"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_032.jpg?v=1,2013 Audi R8 Coupé V10 plus 5.2 FSI quattro,MODERN SUPERCARS,"290,000",Wheelspin,S1,802.0,AWD,7.3,7.0,7.1,6.6,6.9,5.0,info_not_found,info_not_found,info_not_found,info_not_found,Season Event,Festival Playlist,542,"3,682"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_030.jpg?v=1,2013 Audi RS 4 Avant,SUPER SALOONS,"83,000",Autoshow,A,728.0,AWD,7.0,6.2,5.5,5.2,5.2,5.2,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,444,"3,957"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_031.jpg?v=1,2013 Audi RS 7 Sportback,SUPER SALOONS,"225,000",Autoshow,A,739.0,AWD,7.6,5.9,7.0,8.2,5.6,5.3,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,552,"4,310"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_033.jpg?v=1,2015 Audi RS 6 Avant,SUPER SALOONS,"150,000",Autoshow,A,754.0,AWD,7.4,6.0,7.5,8.3,5.3,5.2,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,Accolade,552,"4,266"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_035.jpg?v=1,2015 Audi S1,HOT HATCH,"35,000",Autoshow,B,644.0,AWD,5.6,5.9,5.2,4.4,3.7,5.6,154.5 Mph,5.8s,14.0s,0.92 g,Wheelspin,info_not_found,228,"2,899"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_034.jpg?v=2,2015 Audi TTS Coupé,MODERN SPORTS CARS,"52,000",Autoshow,A,724.0,AWD,6.7,6.3,5.8,6.4,4.0,5.2,info_not_found,info_not_found,info_not_found,info_not_found,Wheelspin,info_not_found,310,"3,053"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_036.jpg?v=1,2016 Audi R8 V10 plus,MODERN SUPERCARS,"242,000",Autoshow,S1,834.0,AWD,7.8,7.1,7.8,7.4,7.3,5.1,215.9 Mph,2.7s,6.1s,1.11 g,Wheelspin,info_not_found,610,"3,428"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_549.jpg?v=1,2018 Audi TT RS,MODERN SPORTS CARS,0,Autoshow,A,748.0,AWD,6.8,6.3,6.7,8.1,4.7,5.2,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,info_not_found,400,"3,307"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_037.jpg?v=1,1958 Austin-Healey Sprite MkI,CLASSIC SPORTS CARS,"20,000",Autoshow,D,131.0,RWD,3.1,3.7,1.9,2.5,1.8,4.9,89.1 Mph,20.9s,??s,0.74 g,Wheelspin,info_not_found,45,"1,463"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_038.jpg?v=1,1939 Auto Union Type D,VINTAGE RACERS,"15,000,000",Autoshow,B,675.0,RWD,8.4,4.2,4.5,3.4,2.7,4.2,228.1 Mph,3.8s,8.5s,0.84 g,Wheelspin,Accolade,485,"2,816"
https://www.kudosprime.com/fh5/images/cars/side/fh5_car_039.jpg?v=1,2014 BAC Mono,TRACK TOYS,"160,000",Wheelspin,S1,868.0,RWD,6.1,8.1,6.3,6.7,8.1,3.9,171.9 Mph,2.8s,6.7s,1.29 g,Accolade,info_not_found,280,"1,354"
