,statement,source,veracity
0,"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,0
1,"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,1
2,"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,0
3,"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,0
5,"""George H.W. Bush has died at 94.""",Bloggers,0
6,"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,0
7,"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,0
8,"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,0
9,"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,0
10,"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,0
11,"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,0
12,"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,0
13,"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,0
14,"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,0
15,"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,1
17,"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy.",Rachel Maddow,1
19,"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!""",Bloggers,0
20,"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",Bloggers,0
21,"""NASA announced that it communicated with four races of aliens.""",Bloggers,0
22,"""Mexico’s Next President Calls for An Invasion Of The US""",Bloggers,0
23,"""Migrant mother and ‘crying girl’ on Time cover never separated.""",The Gateway Pundit,1
24,"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit.",AFSCME,0
25,"""Obama administration kept illegal Mexican kids in detention camps as ‘experiment’""",Bloggers,0
26,"""Fact: Over 90,000 kids were detained under Obama. And no one cared.""",Brad Parscale,0
27,"""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""",JB Pritzker,0
28,"Says Donald Trump's executive order ""doesn't address the over 2,000 children who are already separated from their parents, and it doesn't change the fact that we would be jailing children with their families.""",Tammy Baldwin,1
29,"A Chinese proverb says, ""Those who say it can not be done, should not interrupt those doing it.""",Ivanka Trump,0
30,"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",Scott Walker,1
31,"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,0
32,"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,0
33,"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,1
35,"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,1
36,Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,1
37,"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,0
39,"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,0
40,"""39% of All California Students are illegals.""",Viral image,0
