statement,source,link,veracity
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,/web/20180705082623/https://www.politifact.com/california/statements/2018/jul/03/donald-trump/pants-fire-white-house-claim-sen-harris-supporting/,Pants on Fire!
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/03/becoming-american-initiative/did-ronald-reagan-say-immigrants-made-america-grea/,Mostly True
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/03/viral-image/viral-image-criticizing-democrats-featured-fabrica/,Pants on Fire!
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,Pants on Fire!
"""There are a lot of private charters. And in fact, (Tony Evers) sought and received the largest charter school grant in the country from the Trump-DeVos administration to start new charter schools in Wisconsin.""",Kelda Helen Roys,/web/20180705082623/https://www.politifact.com/wisconsin/statements/2018/jul/03/kelda-helen-roys/did-wisconsins-schools-chief-receive-largest-chart/,Half-True
"""George H.W. Bush has died at 94.""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/hoax-website-says-george-h-w-bush-died-he-didnt/,Pants on Fire!
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,Pants on Fire!
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/,False
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-wrong-mercedes-bmw-import-cars-us-mil/,False
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,False
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/,False
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,/web/20180705082623/https://www.politifact.com/illinois/statements/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/,False
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,/web/20180705082623/https://www.politifact.com/wisconsin/statements/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/,Pants on Fire!
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,False
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,/web/20180705082623/https://www.politifact.com/florida/statements/2018/jun/29/adam-putnam/putnam-parrots-previous-absurd-claim-food-stamps-i/,Pants on Fire!
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,/web/20180705082623/https://www.politifact.com/florida/statements/2018/jun/29/ron-desantis/did-adam-putnam-endorse-gang-eight-immigration-amn/,Mostly True
"""Every day over 450,000 Americans sit in jail not because they've been convicted of anything, but because they are too poor to pay bail & don't have high powered attorneys.""",Ted Lieu,/web/20180705082623/https://www.politifact.com/california/statements/2018/jun/29/ted-lieu/do-more-450000-americans-sit-jail-because-they-are/,Half-True
"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy.",Rachel Maddow,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/rachel-maddow/rachel-maddow-right-there-was-no-plan-reuniting-fa/,True
"Says Sherrod Brown in 1978 ""voted for stricter removal standards (for voter registration) and then enforced them as Secretary of State.""",Ohio Republican Party,/web/20180705082623/https://www.politifact.com/ohio/statements/2018/jun/29/ohio-republican-party/ohio-gop-miscasts-sherrod-browns-longstanding-poli/,Half-True
"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/free-dunkin-donuts-online-offer-scam/,Pants on Fire!
"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",Bloggers,/web/20180701030417/http://www.politifact.com/ohio/statements/2018/jun/26/blog-posting/blog-site-wrongly-claims-muslim-woman-escaped-puni/,False
"""NASA announced that it communicated with four races of aliens.""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/no-nasa-has-not-communicated-aliens/,Pants on Fire!
"""Mexico’s Next President Calls for An Invasion Of The US""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/mexico-presidential-candidate-call-immigration/,Pants on Fire!
"""Migrant mother and ‘crying girl’ on Time cover never separated.""",The Gateway Pundit,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/gateway-pundit/immigrant-girl-time-cover-wasnt-separated-mother/,True
"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit.",AFSCME,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/25/afscme/ad-falsely-accuses-nevadas-gop-governor-candidate-/,False
"""Obama administration kept illegal Mexican kids in detention camps as ‘experiment’""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/did-obama-detain-illegal-mexican-children-experime/,Mostly False
"""Fact: Over 90,000 kids were detained under Obama. And no one cared.""",Brad Parscale,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/25/brad-parscale/tyes-immigrant-children-detained-under-obama-they-/,Mostly False
"""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""",JB Pritzker,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/25/jb-pritzker/did-rauner-really-pour-1-billion-down-drain/,Mostly False
"Says Donald Trump's executive order ""doesn't address the over 2,000 children who are already separated from their parents, and it doesn't change the fact that we would be jailing children with their families.""",Tammy Baldwin,/web/20180701030417/http://www.politifact.com/wisconsin/statements/2018/jun/22/tammy-baldwin/trumps-executive-order-doesnt-address-2000-separat/,Mostly True
"A Chinese proverb says, ""Those who say it can not be done, should not interrupt those doing it.""",Ivanka Trump,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/22/ivanka-trump/no-evidence-link-ivanka-trump-quote-chinese-prover/,False
"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",Scott Walker,/web/20180701030417/http://www.politifact.com/wisconsin/statements/2018/jun/22/scott-walker/scott-walkers-big-re-election-tax-cut-tout-8-billi/,True
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,False
"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/-website-falsely-claims-obama-was-bust/,Mostly False
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/21/donald-trump/1700-percent-increase-asylum-claims/,Mostly True
"""You can’t (end the separation of families at the border) through an executive order.""",Donald Trump,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/21/donald-trump/trump-changes-course-stops-family-separation-borde/,Full Flop
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,True
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,/web/20180701030417/http://www.politifact.com/texas/statements/2018/jun/20/jim-spencer/jim-spencer-may-2018-marked-401st-month-global-tem/,Mostly True
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,/web/20180701030417/http://www.politifact.com/north-carolina/statements/2018/jun/20/tim-moore/states-voter-id-laws-have-seen-zero-decrease-turno/,Mostly False
On separating families at the border.,Leah Vukmir,/web/20180701030417/http://www.politifact.com/wisconsin/statements/2018/jun/20/leah-vukmir/has-trump-backer-and-senate-candidate-leah-vukmir-/,Half Flip
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/20/corey-stewart/corey-stewarts-comments-sen-tim-kaine-and-antifa/,Mostly False
"""39% of All California Students are illegals.""",Viral image,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/05/viral-image/no-39-california-students-arent-undocumented/,False
"""More than 66% of ALL births in California are to illegals on Medi-Cal.""",Viral image,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/05/viral-image/viral-image-overstates-births-undocumented-mothers/,False
"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",Scott Walker,/web/20180717183606/http://www.politifact.com/wisconsin/statements/2018/jul/05/scott-walker/gov-scott-walker-says-state-schools-chief-tony-eve/,False
"Says Sen. Bill Nelson ""voted for higher taxes"" 349 times.",Rick Scott,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jul/05/rick-scott/did-sen-bill-nelson-vote-higher-taxes-349-no/,False
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,/web/20180717183606/http://www.politifact.com/california/statements/2018/jul/03/donald-trump/pants-fire-white-house-claim-sen-harris-supporting/,Pants on Fire!
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/03/becoming-american-initiative/did-ronald-reagan-say-immigrants-made-america-grea/,Mostly True
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/03/viral-image/viral-image-criticizing-democrats-featured-fabrica/,Pants on Fire!
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,Pants on Fire!
"""There are a lot of private charters. And in fact, (Tony Evers) sought and received the largest charter school grant in the country from the Trump-DeVos administration to start new charter schools in Wisconsin.""",Kelda Helen Roys,/web/20180717183606/http://www.politifact.com/wisconsin/statements/2018/jul/03/kelda-helen-roys/did-wisconsins-schools-chief-receive-largest-chart/,Half-True
"""George H.W. Bush has died at 94.""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/hoax-website-says-george-h-w-bush-died-he-didnt/,Pants on Fire!
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,Pants on Fire!
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/,False
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-wrong-mercedes-bmw-import-cars-us-mil/,False
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,False
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/,False
