Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Original Ask Amount,Original Ask Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Valuation Offered,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Number of sharks in deal
1,1,Badlegi Business Ki Tasveer,1,BluePine Foods,Food,Frozen Momos,https://bluepinefoods.com/,3,2,1,0,Middle,2016,Delhi,Delhi,95,800000,,50,5,1000,1,1,75,16,,469,25,5.33,,0,0,,0,0,,25,5.33,,25,5.33,,,,,,,,3
1,1,Badlegi Business Ki Tasveer,2,Booz Scooters,Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,1,1,,0,Young,2017,Ahmedabad,Gujarat,4,40000,,40,15,267,1,1,40,50,,80,20,25,,0,0,,0,0,,20,25,,0,0,,,,,,,,2
1,1,Badlegi Business Ki Tasveer,3,Heart up my Sleeves,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,1,,1,0,Young,2021,Delhi,Delhi,,200000,,25,10,250,1,1,25,30,,83,0,0,,0,0,,12.5,15,,12.5,15,,0,0,,,,,,,,2
1,2,"Insaan, Ideas Aur Sapne",4,Tagz Foods,Food,Healthy Potato Chips Snacks,https://tagzfoods.com/,2,2,,0,Middle,2019,Bangalore,Karnataka,700,,48,70,1,7000,1,1,70,2.75,,2545,70,2.75,,0,0,,0,0,,0,0,,0,0,,,,,,,,1
1,2,"Insaan, Ideas Aur Sapne",5,Head and Heart,Education,Brain Development Course,https://thehnh.in/,4,1,3,1,Middle,2015,,Punjab,30,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,"Insaan, Ideas Aur Sapne",6,Agri tourism,Services,Tourism,https://www.agritourism.in/,2,1,1,1,Middle,2005,Baramati,Maharashtra,79,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,Aam Aadmi Ke Business Ideas,7,qZense Labs,Food,Food Freshness Detector,https://www.qzense.com/,2,,2,0,Middle,2020,"Mohali,Delhi","Punjab, Delhi",25,,,100,0.25,40000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,Aam Aadmi Ke Business Ideas,8,Peeschute,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,1,1,,0,Young,2019,Jalna,Maharashtra,100,,,75,4,1875,1,1,75,6,,1250,0,0,,0,0,,0,0,,0,0,,75,6,,,,,,,,1
1,3,Aam Aadmi Ke Business Ideas,9,NOCD,Food,Energy Drink,,2,2,,0,Middle,2019,Bangalore,Karnataka,,2000000,,50,2,2500,1,1,20,15,30,133,0,0,,0,0,,0,0,,20,15,30,0,0,,,,,,,,1
1,4,Entrepreneurship Ki Wave,10,Cos IQ,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2,1,1,1,Middle,2021,Delhi,Delhi,,400000,75,50,7.5,667,1,1,50,25,,200,0,0,,0,0,,25,12.5,,25,12.5,,0,0,,,,,,,,2
1,4,Entrepreneurship Ki Wave,11,JhaJi Achaar,Food,Pickle,https://www.jhajistore.com/,2,,2,0,Old,2021,Darbhanga,Bihar,,500000,18,50,10,500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Entrepreneurship Ki Wave,12,Bummer,Beauty/Fashion,Underwear,https://bummer.in/,1,1,,0,Young,2020,Ahmedabad,Gujarat,,1500000,70,75,4,1875,1,1,75,7.5,,1000,0,0,,37.5,3.75,,0,0,,0,0,,37.5,3.75,,,,,,,,2
1,5,Hunt For Interesting Business,13,Revamp Moto,Electrical Vehicles,E-Bike Mitra bud-e RM,https://www.revampmoto.in/,3,3,,0,Young,,Nashik,Maharashtra,,1000,,100,1,10000,1,1,100,1.5,,6667,0,0,,0,0,,50,0.75,,0,0,,50,0.75,,,,,,,,2
1,5,Hunt For Interesting Business,14,Hungry Head,Food,Restaurant serving 80 types of Maggi,,2,2,,0,Middle,2013,Mumbai,Maharashtra,,550000,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,Hunt For Interesting Business,15,Shrawani Engineers,Beauty/Fashion,Belly Button Shaper,https://www.shrawaniengineers.com/,2,1,1,1,Middle,2019,Nagpur,Maharashtra,50,,,20,10,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,"New Week, New Ideas",16,Skippi Ice Pops,Food,Ice-Pops,https://skippi.in/,2,1,1,1,Middle,,Hyderabad,Telangana,,600000,,45,5,900,1,1,100,15,,667,20,3,,20,3,,20,3,,20,3,,20,3,,,,,,,,5
1,6,"New Week, New Ideas",17,Menstrupedia,Education,Menstrual Awareness Comic,https://www.menstrupedia.com/,2,1,1,1,Middle,,Ahmedabad,Gujarat,115,,,50,10,500,1,1,50,20,,250,0,0,,50,20,,0,0,,0,0,,0,0,,,,,,,,1
1,6,"New Week, New Ideas",18,Hecoll,Beauty/Fashion,Pollution Resistant Fabric - Healthy Cover For All,https://hecoll.com/,1,,1,0,Middle,2019,Hyderabad,Telangana,107,,,100,1,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,A Never Give Up Spirit,19,Raising Superstars,Education,Child Development App,https://raisingsuperstars.com/india-page,2,1,1,1,Middle,,,,1300,,,100,2,5000,1,1,100,4,,2500,50,2,,0,0,,0,0,,0,0,,50,2,,,,,,,,2
