Family,Scientific name,Common name(s),Red List status,Population trend
BOLYERIDAE,Bolyeria multocarinata,Round Island Burrowing Boa,EX,
DIPSADIDAE,Borikenophis sanctaecrucis,Saint Croix Racer,EX,
TYPHLOPIDAE,Typhlops cariei,,EX,
ELAPIDAE,Aipysurus apraefrontalis,"Sahul Reef Snake, Short-nosed Sea Snake",CR,decreasing
ELAPIDAE,Aipysurus foliosquama,Leaf-scaled Sea Snake,CR,decreasing
DIPSADIDAE,Alsophis antiguae,Antiguan Racer,CR,increasing
VIPERIDAE,Bothropoides alcatraz,Alcatrazes Lancehead,CR,stable
VIPERIDAE,Bothropoides insularis,"Golden Lancehead, Queimada Island Bothrops",CR,stable
CALAMARIIDAE,Calamaria ingeri,,CR,unknown
CALAMARIIDAE,Calamaria prakkei,Prakke's Reed Snake,CR,
COLUBRIDAE,Chironius vincenti,St Vincent Blacksnake,CR,
PSEUDOXYRHOPHIIDAE,Compsophis vinckei,,CR,decreasing
VIPERIDAE,Crotalus catalinensis,Santa Catalina Island Rattlesnake,CR,decreasing
VIPERIDAE,Crotalus unicolor,Aruba Island Rattlesnake,CR,
COLUBRIDAE,Gongylosoma mukutense,Pulau Tioman Ground Snake,CR,
DIPSADIDAE,Hypsirhynchus ater,Black Racer,CR,
COLUBRIDAE,Lampropeltis herrerae,,CR,decreasing
DIPSADIDAE,Liophis cursor,Lacépède's Ground Snake,CR,
COLUBRIDAE,Lycodon chrysoprateros,Ross' Wolf Snake,CR,decreasing
COLUBRIDAE,Masticophis anthonyi,,CR,unknown
ELAPIDAE,Micrurus ruatanus,Roatan Coral Snake,CR,unknown
VIPERIDAE,Montivipera wagneri,Wagner's Viper,CR,decreasing
COLUBRIDAE,Oligodon booliati,Boo-Liat's Kukri Snake,CR,unknown
NATRICIDAE,Opisthotropis kikuzatoi,"Kikuzato's Brook Snake, Kikuzatos Stream Snake",CR,
PROSYMNIDAE,Prosymna ornatissima,Ornate Shovel-snout,CR,unknown
PSEUDOXYRHOPHIIDAE,Pseudoxyrhopus ankafinaensis,,CR,unknown
TYPHLOPIDAE,Typhlops lazelli,,CR,unknown
VIPERIDAE,Vipera anatolica,,CR,decreasing
VIPERIDAE,Vipera darevskii,Darevsky's Viper,CR,decreasing
VIPERIDAE,Vipera orlovi,Orlov's Viper,CR,decreasing
TYPHLOPIDAE,Xenotyphlops grandidieri,,CR,unknown
DIPSADIDAE,Adelphicos daryi,Dary's Burrowing Snake,EN,
TYPHLOPIDAE,Afrotyphlops gierrai,"Gierra's Blind Snake, Usambara Spotted Worm Snake",EN,unknown
ELAPIDAE,Aipysurus fuscus,"Dusky Sea Snake, Timor Reef Snake",EN,decreasing
PSEUDOXYRHOPHIIDAE,Alluaudina mocquardi,,EN,unknown
DIPSADIDAE,Alsophis rijgersmaei,"Anguila Racer, Leeward Island Racer",EN,
DIPSADIDAE,Alsophis rufiventris,"Orange-bellied Racer, Red-bellied Racer, Saba Racer",EN,
DIPSADIDAE,Alsophis sanctonum,Terre-De-Haut Racer,EN,unknown
NATRICIDAE,Amphiesma metusia,Wa Shan Keelback,EN,decreasing
PYTHONIDAE,Aspidites ramsayi,"Ramsay's Python, Woma",EN,
COLUBRIDAE,Boiga bourreti,Bourret's Cat Snake,EN,unknown
COLUBRIDAE,Boiga saengsomi,"Banded Cat Snake, Banded Green Cat Snake",EN,unknown
VIPERIDAE,Bothrops lojanus,Lojan Lancehead,EN,unknown
CALAMARIIDAE,Calamaria yunnanensis,Yunnan Reed Snake,EN,unknown
DIPSADIDAE,Calamodontophis ronaldoi,,EN,unknown
BOLYERIDAE,Casarea dussumieri,"Round Island Boa, Round Island Ground Boa, Round Island Keel-scaled Boa",EN,
HOMALOPSIDAE,Cerberus microlepis,,EN,decreasing
DIPSADIDAE,Chersodromus rubriventris,,EN,decreasing
BOIDAE,Corallus cropanii,Cropan's Boa,EN,unknown
VIPERIDAE,Crotalus pusillus,,EN,unknown
VIPERIDAE,Cryptelytrops kanburiensis,Kanburi Pit Viper,EN,unknown
ELAPIDAE,Elapsoidea chelazzii,"Somali Garter Snake, Southern Somali Garter Snake",EN,unknown
ELAPIDAE,Elapsoidea nigra,"Black Garter Snake, Usambara Garter Snake",EN,unknown
HOMALOPSIDAE,Enhydris vorisi,,EN,unknown
BOIDAE,Epicrates monensis,Mona Island Boa,EN,unknown
COLUBRIDAE,Euprepiophis perlacea,"Pearl-banded Rat Snake, Sichuan Rat Snake",EN,decreasing
COLUBRIDAE,Ficimia hardyi,,EN,decreasing
PSEUDOXYRHOPHIIDAE,Heteroliodon fohy,,EN,decreasing
COLUBRIDAE,Hierophis cypriensis,"Cyprus Whip Snake, Zypern-schlanknatter",EN,decreasing
NATRICIDAE,Hologerrhum dermali,,EN,decreasing
LAMPROPHIIDAE,Lamprophis geometricus,Seychelles House Snake,EN,decreasing
PSEUDOXYRHOPHIIDAE,Liophidium mayottensis,Peters' Bright Snake,EN,unknown
DIPSADIDAE,Liophis ornatus,"Ornate Ground Snake, St Lucia Racer",EN,
DIPSADIDAE,Liophis perfuscus,Barbados Racer,EN,
DIPSADIDAE,Liophis williamsi,Williams' Ground Snake,EN,unknown
PSEUDOXYRHOPHIIDAE,Lycodryas guentheri,,EN,decreasing
PSEUDOXYRHOPHIIDAE,Lycodryas inopinae,,EN,unknown
NATRICIDAE,Lycognathophis seychellensis,Seychelles Wolf Snake,EN,decreasing
VIPERIDAE,Macrovipera schweizeri,"Cyclades Blunt-nosed Viper, Milos Viper",EN,stable
VIPERIDAE,Mixcoatlus barbouri,Barbour's Montane Pit Viper,EN,decreasing
VIPERIDAE,Mixcoatlus melanurus,,EN,decreasing
VIPERIDAE,Montivipera albizona,Mountain Viper,EN,decreasing
VIPERIDAE,Montivipera bornmuelleri,Lebanon Viper,EN,decreasing
VIPERIDAE,Montivipera latifii,Latifi's Viper,EN,decreasing
COLUBRIDAE,Oligodon meyerinkii,Sulu Short-headed Snake,EN,decreasing
