Rank,Name,Brand channel,Subscribers (millions),Primary language,Category,Country
1,T-Series,Yes,232,Hindi[7][8],Music, India
2,Cocomelon,Yes,150,English,Education, United States
3,Sony Entertainment Television India,Yes,149,Hindi[9],Entertainment, India
4,MrBeast,No,124,English,Entertainment, United States
5,PewDiePie,No,111,English,Entertainment, Sweden
6,Kids Diana Show,Yes,106,English[10][11][12],Film, Ukraine
7,Like Nastya,No,103,English,Entertainment, United States
8,WWE,Yes,92.4,English,Professional wrestling, United States
9,Vlad and Niki,No,91.9,English,Entertainment, Russia
10,Zee Music Company,Yes,91,Hindi[13][14],Music, India
11,Blackpink,Yes,83.6,Korean,Music, South Korea
12,Goldmines,Yes,80.3,Hindi,Film, India
13,5-Minute Crafts,Yes,78.2,English,How-to, Cyprus[a]
14,Sony SAB,Yes,75.3,Hindi,Entertainment, India
15,BangtanTV,No,72.6,Korean,Music, South Korea
16,Justin Bieber,No,70.7,English,Music, Canada
17,Hybe Labels,Yes,69.3,Korean,Music, South Korea
18,Canal KondZilla,Yes,66.3,Portuguese,Music, Brazil
19,Zee TV,Yes,65,Hindi,Entertainment, India
20,Pinkfong,Yes,63.6,English,Education, South Korea
21,Shemaroo Entertainment,Yes,63.1,Hindi,Music, India
22,ChuChu TV,Yes,60.4,Hindi[16],Education, India
23,Colors TV,Yes,58.5,Hindi,Entertainment, India
24,Dude Perfect,No,58.5,English,Sports, United States
25,Movieclips,Yes,58.4,English,Film, United States
26,T-Series Bhakti Sagar,Yes,56.6,Hindi,Music, India
27,Marshmello,No,56.1,English,Music, United States
28,Tips Industries,Yes,55.7,Hindi,Music, India
29,Wave Music,Yes,55.3,Bhojpuri,Music, India
30,Sony Music India,Yes,55,Hindi,Music, India
31,Aaj Tak,Yes,54.8,Hindi,News, India
32,Eminem,No,54.6,English,Music, United States
33,El Reino Infantil,Yes,54.4,Spanish,Music, Argentina
34,Ed Sheeran,No,52.7,English,Music, United Kingdom
35,Ariana Grande,No,52.1,English,Music, United States
36,LooLoo Kids,Yes,51.8,English,Music, Romania
37,Taylor Swift,No,50.5,English,Music, United States
38,Yash Raj Films,Yes,49.9,Hindi,Music, India
39,BillionSurpriseToys,Yes,48.5,English,Entertainment, United States
40,Infobells,Yes,48,Hindi,Education, India
41,Billie Eilish,No,47.2,English,Music, United States
42,JuegaGerman,No,46.9,Spanish,Music, Chile
43,Badabun,Yes,46.2,Spanish,Entertainment, Mexico
44,Fernanfloo,No,45.5,Spanish,Gaming, El Salvador
45,Bad Bunny,No,44.8,Spanish,Music, United States ( Puerto Rico)
46,Felipe Neto,No,44.7,Portuguese,Entertainment, Brazil
47,Sony Music India,Yes,44.4,Hindi,Music, India
48,Bright Side,Yes,44.3,English,Education, Cyprus[a]
49,Você Sabia?,No,44,Portuguese,Entertainment, Brazil
50,Whindersson Nunes,No,44,Portuguese,Entertainment, Brazil
